Full Name, Party, Utterances Count, PA Profile, Profile Photo
"Gumbi, Mr HS","DA","120","https://www.pa.org.za/person/hlanganani-siphelele-gumbi/","https://static.pmg.org.za/t_Hon.-HS-Gumbi-DA.jpg-nggid0275-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Ntuli, Ms M","DA","562","https://www.pa.org.za/person/mbali-ntuli/","https://static.pmg.org.za/t_Hon.-M-Ntuli-DA.jpg-nggid0280-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Rodgers, Mr FA","DA","14","https://www.pa.org.za/person/francois-adrianus-rodgers/","https://static.pmg.org.za/t_Hon-FA-Rodgers-DA.jpg-nggid0254-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Mari, Mr G","DA","70","null","https://static.pmg.org.za/t_Hon-G-Mari-DA.jpg-nggid0255-ngg0dyn-250x375x100-00f0w010c011r110f110r010t010.jpg"
"Jankielsohn, Mr R","DA","10","https://www.pa.org.za/person/r-jankielsohn/","https://static.pmg.org.za/Jankelson.jpg"
"Kleynhans, Ms LM","DA","8","https://www.pa.org.za/person/leona-mary-kleynhans/","https://static.pmg.org.za/KLEYNHANS.jpg"
"Van Vuuren, Mr D","DA","33","https://www.pa.org.za/person/david-edward-janse-van-vuuren/","https://static.pmg.org.za/David.jpg"
"Bodlani, Ms T","DA","324","https://www.pa.org.za/person/tsholofelo-katlego-motshidi/","https://static.pmg.org.za/1/Bodlani.jpg"
"Bloom, Mr J","DA","1","https://www.pa.org.za/person/jack-bloom/","https://static.pmg.org.za/bloom.jpg"
"Campbell, Mr N","DA","3","https://www.pa.org.za/person/neil-campbell/","https://static.pmg.org.za/neil_pmg.jpg"
"Chabalala, Mr MS","DA","3","https://www.pa.org.za/person/mokhaugelo-solomon-chabalala/","https://static.pmg.org.za/chabalalaPMG.jpg"
"Cilliers, Ms AW","DA","20","https://www.pa.org.za/person/agatha-wilhelmina-cilliers/","https://static.pmg.org.za/cilliersPMG.jpg"
"Clarke, Ms M","DA","655","https://www.pa.org.za/person/michele-odette-clarke/","https://static.pmg.org.za/37.jpg"
"Engelbrecht, Mr J","DA","209","https://www.pa.org.za/person/janho-engelbrecht/","https://static.pmg.org.za/Engelbrecht.jpg"
"Magerman, Mr E","DA","13","https://www.pa.org.za/person/magerman-errol/","https://static.pmg.org.za/ERROLpmg.jpg"
"Gana, Mr M","DA","2","https://www.pa.org.za/person/makashule-gana/","https://static.pmg.org.za/Gana_Pmg.jpg"
"More, Mr LL","DA","61","https://www.pa.org.za/person/lebogang-ludwig-more/","https://static.pmg.org.za/LebogangM_PMG.jpg"
"Moriarty, Mr MS","DA","0","https://www.pa.org.za/person/michael-sean-moriarty/","https://static.pmg.org.za/Moriarty.jpg"
"Nel, Mr FP","DA","68","https://www.pa.org.za/person/frederik-petrus-nel/","https://static.pmg.org.za/Nel-Fred-PMG.jpg"
"Bodlani, Mr PL","DA","3","https://www.pa.org.za/person/phillip-langa-bodlani/","https://static.pmg.org.za/bodlani_pmg.jpg"
"Phala, Ms K","DA","1","https://www.pa.org.za/person/katlego-suzan-phala/","https://static.pmg.org.za/phalaPMG.jpg"
"Fernandez, Ms SG","DA","6","https://www.pa.org.za/person/sharna-gail-fernandez/","https://static.pmg.org.za/Fernandez.jpg"
"Theologo, Ms JR","DA","1","https://www.pa.org.za/person/jacqueline-rachelle-theologo/","https://static.pmg.org.za/Jacqueline_Rachelle_Theologo_PMG.jpg"
"Allen, Mr R","DA","343","https://www.pa.org.za/person/reagen-ivan-allen/","https://static.pmg.org.za/Allen.jpg"
"Louw, Mr A","DA","17","https://www.pa.org.za/person/andrew-louw/","https://static.pmg.org.za/louwPMG.jpg"
"McGluwa, Mr H","DA","163","https://www.pa.org.za/person/harold-mc-gluwa/","https://static.pmg.org.za/mcgluwaPMG.jpg"
"Fritz, Mr ICC","DA","114","https://www.pa.org.za/person/isak-cornelius-christiaan-fritz/","https://static.pmg.org.za/fritzPMG.jpg"
"Hattingh, Ms M","DA","8","https://www.pa.org.za/person/melinda-hattingh/","https://static.pmg.org.za/melindaPMG.jpg"
"Grobler, Mr B","DA","27","https://www.pa.org.za/person/bosman-grobler/","https://static.pmg.org.za/Bosman_PMG.jpg"
"Sithole, Ms RJ","DA","15","https://www.pa.org.za/person/raesetja-jane-sithole/","https://static.pmg.org.za/Raesetja_Jane_Sithole.jpg"
"Hicklin, Ms MB","DA","330","https://www.pa.org.za/person/madeleine-bertine-hicklin/","https://static.pmg.org.za/Hicklin_MB.jpg"
"Ismail, Ms H","DA","668","https://www.pa.org.za/person/haseena-ismail/","https://static.pmg.org.za/Ismail.jpg"
"Abrahams, Ms ALA","DA","699","https://www.pa.org.za/person/alexandra-lilian-amelia-abrahams/","https://static.pmg.org.za/1/2.jpg"
"Mabhena, Mr TB","DA","541","https://www.pa.org.za/person/thamsanqa-bhekokwakhe-mabhena/","https://static.pmg.org.za/Mabhena_TB.jpg"
"Mphithi, Mr L","DA","629","https://www.pa.org.za/person/luyolo-mphithi/","https://static.pmg.org.za/mphithiL.jpg"
"Spies, Ms ERJ","DA","211","https://www.pa.org.za/person/eleanore-rochelle-jacquelene-spies/","https://static.pmg.org.za/spies.jpg"
"Brink, Mr C","DA","552","https://www.pa.org.za/person/cilliers-brink/","https://static.pmg.org.za/Brink_C.jpg"
"Masipa, Mr NP","DA","578","https://www.pa.org.za/person/noko-phineas-masipa/","https://static.pmg.org.za/mr_noko_phineas_masipa.jpg"
"Opperman, Ms G","DA","366","https://www.pa.org.za/person/gizella-opperman/","https://static.pmg.org.za/mrs_gizella_opperman.jpg"
"Cuthbert, Mr MJ","DA","792","https://www.pa.org.za/person/mathew-john-cuthbert/","https://static.pmg.org.za/Cuthbert_MJ.jpg"
"Phillips, Ms C","DA","433","https://www.pa.org.za/person/cheryl-phillips/","https://static.pmg.org.za/phillips.jpg"
"Van Minnen, Ms BM","DA","273","https://www.pa.org.za/person/benedicta-maria-van-minnen/","https://static.pmg.org.za/van_minnen.jpg"
"Powell, Ms EL","DA","786","https://www.pa.org.za/person/emma-louise-powell/","https://static.pmg.org.za/1/311.jpg"
"Ngcobo, Mr S","DA","502","https://www.pa.org.za/person/sibongiseni-ngcobo/","https://static.pmg.org.za/274.jpg"
"Winkler, Ms HS","DA","470","https://www.pa.org.za/person/hannah-shameema-winkler/","https://static.pmg.org.za/ms_hannah_shameema_winkler.jpg"
"De Villiers, Mr JN","DA","161","https://www.pa.org.za/person/jan-naude-de-villiers/","https://static.pmg.org.za/De_Villiers_JN.jpg"
"Roos, Mr AC","DA","814","https://www.pa.org.za/person/adrian-christopher-roos/","https://static.pmg.org.za/roos_ac.jpg"
"Sarupen, Mr AN","DA","225","https://www.pa.org.za/person/ashor-nick-sarupen/","https://static.pmg.org.za/mr_ashor_nick_sarupen.jpg"
"Schreiber, Dr LA","DA","454","https://www.pa.org.za/person/leon-amos-schreiber/","https://static.pmg.org.za/schreiber.jpg"
"Seitlholo, Mr IS","DA","119","https://www.pa.org.za/person/isaac-sello-seitlholo/","https://static.pmg.org.za/seitl.jpg"
"Sharif, Ms NK","DA","719","https://www.pa.org.za/person/nazley-khan-sharif/","https://static.pmg.org.za/sharif.jpg"
"Nodada, Mr BB","DA","643","https://www.pa.org.za/person/baxolile-babongile-nodada/","https://static.pmg.org.za/Nodada_B.jpg"
"Gondwe, Dr M","DA","814","https://www.pa.org.za/person/mimmy-martha-gondwe/","https://static.pmg.org.za/Gondwe_MM.jpg"
"Graham, Ms SJ","DA","515","https://www.pa.org.za/person/samantha-jane-graham/","https://static.pmg.org.za/Graham_SJ.jpg"
"Gwarube, Ms S","DA","478","https://www.pa.org.za/person/siviwe-gwarube/","https://static.pmg.org.za/Gwarube.jpg"
"Nhanha, Mr M","DA","358","https://www.pa.org.za/person/mlindi-advent-nhanha/","https://static.pmg.org.za/MLINDI_NHANHA.jpg"
"Aucamp, Mr S","DA","270","https://www.pa.org.za/person/willem-abraham-stephanus-aucamp/","https://static.pmg.org.za/mr_willem_abraham_stephanus_aucamp.jpg"
"Christians, Ms DC","DA","357","https://www.pa.org.za/person/delmaine-chesley-christians/","https://static.pmg.org.za/DELMAINE_CHESLEY_CHRISTIANS.jpg"
"Sileku, Mr IM","DA","496","https://www.pa.org.za/person/isaac-mbulelo-sileku/","https://static.pmg.org.za/Sileku_Isaac_lores.jpg"
"Baartman, Ms DM","DA","566","https://www.pa.org.za/person/deidre-maudelene-baartman/","https://static.pmg.org.za/Baartman.jpg"
"Bosman, Mr G","DA","633","https://www.pa.org.za/person/gillion-bosman/","https://static.pmg.org.za/Bosman.jpg"
"Bredell, Mr A","DA","1","https://www.pa.org.za/person/anton-bredell/","https://static.pmg.org.za/Bredell.jpg"
"Fritz, Mr A","DA","118","https://www.pa.org.za/person/albert-fritz/","https://static.pmg.org.za/Fritz.jpg"
"Madikizela, Mr BS","DA","5","https://www.pa.org.za/person/bonginkosi-success-madikizela/","https://static.pmg.org.za/Madikizela.jpg"
"Marais, Ms A","DA","78","https://www.pa.org.za/person/anroux-marais/","https://static.pmg.org.za/Marais_A.jpg"
"Mbombo, Dr N","DA","51","https://www.pa.org.za/person/nomafrench-mbombo/","https://static.pmg.org.za/Mbombo.jpg"
"Meyer, Mr I","DA","109","https://www.pa.org.za/person/ivan-meyer/","https://static.pmg.org.za/Meyer.jpg"
"Winde, Mr AR","DA","12","https://www.pa.org.za/person/alan-winde/","https://static.pmg.org.za/Winde_Allan_0.jpg"
"Odendaal, Mr R","DA","12","https://www.pa.org.za/person/retief-odendaal/","https://static.pmg.org.za/download_9.jpg"
"Khakhau, Ms KL","DA","46","https://www.pa.org.za/person/karabo-lerato-khakhau/","https://static.pmg.org.za/khau.jpg"
"Sonakile, Mr BF","DA","5","https://www.pa.org.za/person/bafana-freddy-sonakile/","https://static.pmg.org.za/Hon.-Bafana-Freddy-Sonakile.jpg"
"Hoosen, Ms S","DA","1","https://www.pa.org.za/person/sharon-hoosen/","https://static.pmg.org.za/a70c41e503b4c0d3ed3b84c1453026cb.jpg"
"Meyer, Mr LM","DA","109","https://www.pa.org.za/person/lukas-marthinus-meyer/","https://static.pmg.org.za/2a7801cfc43a85f6c8d0a8791cd657f2.jpg"
"Mncwango, Mr ZM","DA","1","https://www.pa.org.za/person/zwakele-maxwell-mncwango/","https://static.pmg.org.za/029c68e67fee454d6fd499d87d1e3c77.jpg"
"Rabe, Ms E","DA","2","https://www.pa.org.za/person/elma-rabe/","https://static.pmg.org.za/HON.-E-RABE-540x600.png"
"Bosch, Ms C","DA","3","https://www.pa.org.za/person/crezane-bosch/","https://static.pmg.org.za/BOSCH.jpg"
"Randall, Ms A","DA","12","https://www.pa.org.za/person/adriana-maria-randall/","https://static.pmg.org.za/Randall-Adriana.jpg"
"Isaacs, Ms PS","DA","92","https://www.pa.org.za/person/priscilla-serina-johanna-isaacs/","https://static.pmg.org.za/null"
"Rhoda, Ms F","DA","10","https://www.pa.org.za/person/fawzia-rhoda/","https://static.pmg.org.za/Rhoda.jpg"
"Maharaj, Mr R","DA","53","https://www.pa.org.za/person/risham-maharaj/","https://static.pmg.org.za/6dc4fced23401b7c211c0a81a53824d6.jpg"
"Weber, Ms AMM","DA","290","https://www.pa.org.za/person/annerie-maria-magdalena-weber/","https://static.pmg.org.za/ms_annerie_maria_magdalena_weber.jpg"
"Bryant, Mr D W","DA","434","https://www.pa.org.za/person/david-william-bryant/","https://static.pmg.org.za/1/3738.jpg"
"Du Plessis, Mr EP","DA","16","https://www.pa.org.za/person/evert-phillipus-du-plessis/","https://static.pmg.org.za/plessis.jpg"
"Singh, Mr B","DA","773","https://www.pa.org.za/person/bradley-singh/","https://static.pmg.org.za/Mr_Bradley_Singh.jpg"
"Mokae, Mr OJ","DA","1","https://www.pa.org.za/person/ohentse-jeremiah-mokae/","https://static.pmg.org.za/mokae.jpg"
"De Jager, Mr NM","DA","5","https://www.pa.org.za/person/nicolaas-mattheus-de-jager/","https://static.pmg.org.za/De_Jager_Mr_NM.jpg"
"Myburgh, Mr NG","DA","57","https://www.pa.org.za/person/nicholas-georg-myburgh/","https://static.pmg.org.za/4135.jpg"
"Khumalo, Dr NV","DA","326","https://www.pa.org.za/person/ntombi-valencia-khumalo/","https://static.pmg.org.za/NV_Khumalo.jpg"
"Plato, Mr D","DA","129","https://www.pa.org.za/person/daniel-plato/","https://static.pmg.org.za/Plato_Dan.jpg"
"Fry, CM","DA","0","https://www.pa.org.za/person/christoper-fry/","https://static.pmg.org.za/Fry_Christopher_lores.jpg"
"Murray, Ms C","DA","267","https://www.pa.org.za/person/cayla-ann-tomss-murray/","https://static.pmg.org.za/Murray_Cayla_lores.jpg"
"Van Zyl, Ms A M","DA","52","https://www.pa.org.za/person/anna-maria-van-zyl/","https://static.pmg.org.za/zyl....jpg"
"Le Goff, Mr T","DA","54","https://www.pa.org.za/person/traverse-anatole-le-goff/","https://static.pmg.org.za/goff.li.jpg"
"Alexander, Ms W","DA","15","https://www.pa.org.za/person/wendy-robyn-alexander/","https://static.pmg.org.za/alex.jpg"
"Bond, Mr M","DA","55","https://www.pa.org.za/person/michael-steven-bond/","https://static.pmg.org.za/bond....jpg"
